음식점_이름,매출_비율,키워드
산굼부리샵카페,상위_10,"커피, 친절, 산책"
삼다도횟집 본점,상위_10,"게장, 가성비, 친절, 바다뷰, 신선한 회"
서민당,상위_10,"멜조림, 돼지한마리, 놀이방, 고기, 친절, 서비스, 제주산, 반찬, 가성비, 맛집"
온담국수 제주국제공항점,상위_10,"고기국수, 공항, 가성비"
함덕중국집,상위_10,"탕수육, 쟁반짜장, 우렁이짬뽕"
오설록농장 본사,상위_10,"녹차, 아이스크림, 오프레도"
클럽이에스 제주리조트,상위_25_50,"자연, 수영장, 힐링, 리조트, 가족, 편의시설"
제주서서갈비,상위_75_90,"돼지고기, 양념갈비, 가성비"
짱죽 제주점,상위_50_75,"친절, 간편, 이유식, 저렴, 다양, 아기, 제주도, 여행, 주차"
참숯구이몬트락,상위_10,"고기, 주차, 친절, 반찬, 제주도"
커피빈 제주아라점,상위_10_25,"주차, 매장 넓음, 음료 다양성, 직원 서비스, 디저트 맛, 분위기 좋음"
파리바게뜨 제주국제공항점,상위_10,"제주마음샌드, 키오스크, 선물용"
파리바게뜨 제주공항탑승점,상위_10,"마음샌드, 제주공항, 파리바게트"
풀베개,상위_10_25,"카페, 분위기, 커피 맛"
피자알볼로 제주점,하위_10,"피자, 맛, 배달"
허그인 제주,상위_50_75,"바다뷰, 소금빵, 힐링"
롯데호텔 제주 델리카한스,상위_25_50,"비싸다, 맛있다, 서비스 개선"
064인생곱창,상위_10_25,"곱창, 친절, 신선함"
100번지숯불구이,하위_10,"소갈비살, 꼼장어, 막창"
114화교반점,상위_50_75,"탕수육, 비빔짬뽕, 친절한 사장님, 짜장면, 고기짬뽕"
17번가 소주호프,하위_10,"노가리, 친절, 맛집, 단체예약, 안주"
1950김프로,상위_50_75,"고기, 친절, 가성비"
1950에어차이나,상위_10,"고추잡채밥, 짜장면, 위생"
1992감성포차,하위_10,"주차, 가성비, 친절, 메뉴, 안주"
2010제주상춘재,상위_25_50,"참전복해물돌솥비빔밥, 고등어구이, 친절한 서비스, 비빔밥, 주차 공간"
2046호,상위_75_90,"안주, 분위기, 음악, 와인, 친절, 재즈"
20년전통부대찌개,상위_50_75,"부대찌개, 열무김치, 친절한 서비스"
20세기 소년,상위_50_75,"LP펍, 음악감상, 칵테일"
24시국수회관,상위_25_50,"고기국수, 가성비, 해장국"
24시누름돌김치찌개,상위_10,"가성비, 김치찌개, 혼밥"
24시누름돌생고기김치찌개,상위_10_25,"가성비, 김치찌개, 친절"
24시뼈다귀탕,상위_25_50,"감자탕, 맛집, 24시간 운영"
24시뼈다귀탕 신서귀포점,상위_10,"감자탕, 수제비, 볶음밥, 친절, 가족단위 식사, 제주산 뼈, 해장국, 식이섬유, 단체모임, 놀이방"
24시뼈다귀탕 노형점,상위_10_25,"뼈해장국, 감자탕, 친절한 서비스"
24시뼈다귀탕동홍점,상위_10,"감자탕, 뼈감탕, 신선한 채소, 푸짐한 양, 가족 모임"
24시 뼈다귀탕 삼화점,상위_75_90,"맛있어요, 친절, 감자탕, 가족외식, 국물, 솥밥, 주차편리"
24시뼈다귀탕 중문점,상위_25_50,"뼈다귀탕, 해장국, 콩나물"
24시얼큰시원생고기김치찌개노형점,상위_50_75,"가게 가성비, 김치찌개, 친절, 24시간, 혼밥"
24시얼큰시원생고기김치찌개아라점,상위_10_25,"가게 리뷰 가성비, 혼밥, 친절, 김치찌개, 제육볶음, 생고기, 푸짐한 양"
24시얼큰시원생고기김치찌개아라점,상위_10_25,"가게 리뷰 가성비, 혼밥, 친절, 푸짐한 양, 김치찌개, 제육볶음, 단골집"
24시전주명가콩나물국밥 일도점,상위_10_25,"가성비, 콩나물국밥, 친절한 서비스, 다양한 메뉴, 맛있음"
이도비어,상위_25_50,"국수튀김, 맥주, 먹태, 분위기, 친절, 마약콘튀김"
2실로와,상위_50_75,"양고기, 친절, 맛있음"
30년할매닭발 외도점,상위_50_75,"닭발, 친절, 맛집"
30년할매닭발 노형점,상위_50_75,"닭발, 친절, 위생"
30년할매닭발 모슬포점,하위_10,"닭발, 매운맛, 식기 관리"
33떡볶이 제주점,상위_50_75,"김밥, 우동, 깔끔한 매장"
88포장마차 제주연동점,상위_25_50,"안주, 분위기, 친절, 20대, 회식"
8번게이트,상위_75_90,"동문시장, 오징어버터구이, 가문어구이, 포장음식, 친절한서비스, 분위기좋음, 가격대비, 안주추천"
BBQ치킨 제주이도초교점,상위_75_90,"BBQ, 친절, 치킨"
BHC치킨 제주신화월드점,상위_50_75,"치킨, 친절, 가격, 담백, 포장"
베이비카페 어놀,하위_10,"청결, 장난감, 아기, 가격, 음식"
EQ치킨,하위_10,"치킨, 양념, 바삭함"
그루브인,상위_25_50,"브런치, 오션뷰, 인테리어, 맛집, 야외자리, 디저트, 청결, 제주느낌, 음료, 커피"
KFC 서귀포중문DT점,상위_10_25,"치킨, 패스트푸드, 주차 편리함, 직원 친절, 매장 청결"
나이브,상위_25_50,"뇨끼, 사시미, 이자카야"
TONKATSU 서황,상위_25_50,"생선카츠, 샐러드우동, 바삭한 튀김"
유카페,하위_10,"고전 엔틱, 수제 생강청, 친절한 직원, 조용한 분위기, 제주 여행"
와썹비치하우스,상위_50_75,"분위기, 친절, 음식, 칵테일, 피자, 웰컴드링크, 서비스, 제주도"
가건물,상위_50_75,"친절, 맛집, 대도리탕"
가는곶 세화,상위_25_50,"빵, 커피, 친절한 사장님"
가다오다,상위_25_50,"신선한 회, 친절한 서비스, 가성비 좋은 음식"
가닥,상위_25_50,"딱새우, 돈백탕, 굴튀김, 매운맛, 국물, 식감, 가성비, 친절한 서비스"
가담국수,상위_10_25,"고기국수, 김치, 수육"
가담국수 하귀점,상위_75_90,"고기국수, 순대국밥, 신선한 식재료"
가든이다 흑돼지,상위_10_25,"친절한 직원, 놀이방, 고기맛"
가람돌솥밥 중문관광단지,상위_10,"전복돌솥밥, 해물뚝배기, 김치전, 제주맛집, 신선한재료, 가성비, 반찬리필, 친절한서비스"
가로수길마루 애월 본점,상위_25_50,"딱새우, 문어흑돼지차슈삼합, 사장님 친절"
가르텐비어 제주노형점,상위_50_75,"친절, 맛집, 불친절"
가리본가 광양점,상위_10_25,"회냉면, 갈비탕, 혼밥, 몸보신, 국물 맛집"
가리본가 노형점,상위_75_90,"갈비찜, 갈비탕, 친절한 서비스"
가리본가 본점,상위_10_25,"갈비탕, 제주도, 주차장"
가마리식당,하위_10,"고기, 볶음밥, 친절"
가마솥애,하위_10,"몸국, 고등어 구이, 수육"
가마솥오리앤국밥,상위_75_90,"국밥, 청결, 친절"
가미돈,하위_10,"후라이드 치킨, 골뱅이 무침, 두루치기, 가성비, 친절 서비스"
가미정,상위_25_50,"맛, 좋아요, 굿, 잘먹었어요"
가보세엠케이카페,상위_75_90,"가성비, 카페"
가보정원,상위_75_90,"가성비, 맛집, 무한리필, 양, 친절"
카페가비,상위_50_75,"카페, 팥빙수, 서비스, 분위기, 테이크아웃"
가스름식당,상위_50_75,"두루치기, 제주 토속 순대, 가성비"
은하수가든,하위_10,"순두부찌개, 청결, 맛, 주차, 친절"
가시버시 정육구이,상위_50_75,"오겹살, 사장님 친절, 제주 맛집"
가시식당,상위_25_50,"두루치기, 몸국, 제주도 맛집"
가파도해물짜장짬뽕,상위_25_50,"짬뽕, 해물, 친절"
가회식당,상위_75_90,"돼지국밥, 순대국밥, 반찬, 친절, 맛집"
각지불,상위_10_25,"아구탕, 들깨, 친절한 서비스"
간또,상위_25_50,"친절, 스지오뎅, 분위기, 서비스, 추천"
간또 일도점,상위_25_50,"오뎅탕, 친절한 직원, 가성비"
간세다리족욕카페,하위_10,"족욕, 아로마 마사지, 친절한 서비스"
간장을품은소라게,상위_75_90,"해물찜, 해물모듬장, 오션뷰, 친절한사장님, 계란밥"
갈비가맛있다,상위_10_25,"고기, 직원 친절, 가격 비쌈"
갈비가맛있다,상위_75_90,"고기, 직원 친절, 가격 비쌈"
갈비마당,하위_10,"양념갈비, 친절, 밑반찬, 된장찌개, 청결"
갈비에제왕,상위_50_75,"소갈비살, 착한가격, 친절한사장님"
갈치공장,상위_10_25,"갈치조림, 전복돌솥밥, 친절한 서비스, 가성비, 신선한 재료, 밑반찬, 제주도, 해물뚝배기, 가자미튀김, 맛있음"
갈치관 애월해안도로점,상위_10,"갈치, 전복솥밥, 친절한 서비스"
제주갈치도 협재 본점,상위_10_25,"갈치조림, 바다뷰, 돌솥밥"
갈치옥 함덕,상위_10,"갈치, 친절, 바다뷰, 가족, 맛있음, 조림, 구이, 여행"
갈치왕 성산점,상위_10_25,"갈치조림, 고등어구이, 친절한 서비스"
애월 갈치포구,상위_25_50,"갈치조림, 전복구이, 신선한 재료"
감나무집,상위_10_25,"양념갈비, 친절, 고기질, 점심메뉴, 가성비, 냉면, 반찬 리필"
감낭집,하위_10,"막걸리, 장터국밥, 감자전"
감미숯불닭갈비,상위_10_25,"놀이방, 가족단위, 음료 무한리필"
감성돈 제주협재본점,상위_25_50,"고기, 친절, 가성비, 김치찌개, 육즙, 협재맛집"
바다의집,상위_50_75,"성게비빔밥, 꽃전복비빔밥, 고등어구이"
감성쭈꾸미 제주점,상위_50_75,"쭈꾸미, 친절, 매콤한맛, 신선한재료, 볶음밥, 청결, 양많음"
감수촌,상위_50_75,"김치찌개, 동태찌개, 친절한 서비스"
감초식당,상위_25_50,"순대국, 제주도 맛집, 중독성 있는 맛"
감탄 장어,상위_75_90,"장어, 청결, 친절, 밑반찬, 가족여행"
갓돈 서귀포중문점,상위_75_90,"고기, 친절, 반찬, 제주도, 맛있다"
갓포아키 신제주점,상위_10_25,"갓포아키, 제주, 친절한 서비스, 고급스러운 음식, 신선한 재료, 가성비, 사시미, 분위기"
갓포효,상위_25_50,"사시미, 고급스러운, 친절한, 분위기, 맛있다"
강남참숯구이,상위_50_75,"고기, 친절, 반찬, 가성비, 맛집"
강명선샤브샤브,상위_10_25,"신선한 재료, 가성비, 육수 맛"
강선장 당일바리,상위_50_75,"벵에돔, 신선한 회, 친절한 서비스"
강셰프의 키친,상위_50_75,"전복비빔밥, 탕수육, 몸짬뽕, 무떡튀김, 제주도 맛집"
강식당,상위_50_75,"고기국수, 친절, 깔끔"
강연우동태찌개 제주외도점,상위_25_50,"동태찌개, 솥밥, 친절한 사장님"
강정포구횟집,상위_50_75,"신선한 회, 바다 뷰, 푸짐한 양"
강해일,상위_25_50,"맛, 친절, 신선도, 가성비, 추천"
개성회관,상위_25_50,"그냥, 저냥, 먹을만"
개정 제주노형점,상위_25_50,"비빔밥, 떡갈비, 냉면, 고급스러운 인테리어, 신선한 재료, 편안한 분위기, 친절한 서비스"
갯동산평대바당국수,상위_75_90,"고기국수, 돗죽, 바다 전망"
갯마을횟집,하위_10,"동네맛집, 한치회, 친절한 서비스, 건강한 밥상, 합리적인 가격"
